title,label1,label2,label3,label4,label5
Detecting Adversarial Samples Using Density Ratio Estimates,CSC,,STA,,
The Query Complexity of Cake Cutting,CSC,,,,
Stacked Convolutional and Recurrent Neural Networks for Music Emotion Recognition,CSC,,,,
Timed Automata with Polynomial Delay and their Expressiveness,CSC,,,,
Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy,,PHY,,,
Time-domain THz spectroscopy reveals coupled protein-hydration dielectric response in solutions of native and fibrils of human lyso-zyme,,PHY,,,
Inversion of Qubit Energy Levels in Qubit-Oscillator Circuits in the Deep-Strong-Coupling Regime,,PHY,,,
Deep Multiple Instance Feature Learning via Variational Autoencoder,,,STA,,
Regularity of envelopes in Kähler classes,,,,,
$S^1$-equivariant Index theorems and Morse inequalities on complex manifolds with boundary,,,,,
Internal Model from Observations for Reward Shaping,CSC,,STA,,
Characterizations of quasitrivial symmetric nondecreasing associative operations,,,,,
Multivariate Dependency Measure based on Copula and Gaussian Kernel,,,STA,,
The nature of the tensor order in Cd2Re2O7,,PHY,,,
Efficient and consistent inference of ancestral sequences in an evolutionary model with insertions and deletions under dense taxon sampling,CSC,,STA,,
Flow Characteristics and Cores of Complex Network and Multiplex Type Systems,CSC,PHY,,,
Pattern-forming fronts in a Swift-Hohenberg equation with directional quenching - parallel and oblique stripes,,PHY,,,
Generalized Minimum Distance Estimators in Linear Regression with Dependent Errors,,,STA,,
Live Service Migration in Mobile Edge Clouds,CSC,,,,
Induced density correlations in a sonic black hole condensate,,PHY,,,
Genus growth in $\mathbb{Z}_p$-towers of function fields,,,,,
Topological Phases emerging from Spin-Orbital Physics,,PHY,,,
"Accurate and Diverse Sampling of Sequences based on a ""Best of Many"" Sample Objective",,,STA,,
Exploring RNN-Transducer for Chinese Speech Recognition,CSC,,,,
A Debt-Aware Learning Approach for Resource Adaptations in Cloud Elasticity Management,CSC,,,,
Semi-simplicial spaces,,,,,
"Constraints, Lazy Constraints, or Propagators in ASP Solving: An Empirical Analysis",CSC,,,,
A Unified Approach to Nonlinear Transformation Materials,,PHY,,,
Stationary crack propagation in a two-dimensional visco-elastic network model,,PHY,,,
A note on the fundamental group of Kodaira fibrations,,,,,
Photo-Chemically Directed Self-Assembly of Carbon Nanotubes on Surfaces,,PHY,,,
Split-and-augmented Gibbs sampler - Application to large-scale inference problems,,,STA,,
Does a generalized Chaplygin gas correctly describe the cosmological dark sector?,,PHY,,,
The effects of subdiffusion on the NTA size measurements of extracellular vesicles in biological samples,,PHY,,,
Empirical regression quantile process with possible application to risk analysis,,,STA,,
Primordial perturbations from inflation with a hyperbolic field-space,,PHY,,,
Role of Vanadyl Oxygen in Understanding Metallic Behavior of V2O5(001) Nanorods,,PHY,,,
Graph Convolution: A High-Order and Adaptive Approach,CSC,,STA,,
Learning Sparse Representations in Reinforcement Learning with Sparse Coding,CSC,,STA,,
Almost euclidean Isoperimetric Inequalities in spaces satisfying local Ricci curvature lower bounds,,,,,
Exponential Sums and Riesz energies,,,,,
One dimensionalization in the spin-1 Heisenberg model on the anisotropic triangular lattice,,PHY,,,
Memory Aware Synapses: Learning what (not) to forget,CSC,,STA,,
Uniform Spectral Convergence of the Stochastic Galerkin Method for the Linear Semiconductor Boltzmann Equation with Random Inputs and Diffusive Scalings,,,,,
On Improving the Capacity of Solving Large-scale Wireless Network Design Problems by Genetic Algorithms,CSC,,,,
Quasi two-dimensional Fermi surface topography of the delafossite PdRhO$_2$,,PHY,,,
A Variational Characterization of Rényi Divergences,CSC,,STA,,
Interlayer coupling and gate-tunable excitons in transition metal dichalcogenide heterostructures,,PHY,,,
Enumeration of singular varieties with tangency conditions,,,,,
In-home and remote use of robotic body surrogates by people with profound motor deficits,CSC,,,,
ClusterNet: Detecting Small Objects in Large Scenes by Exploiting Spatio-Temporal Information,CSC,,,,
Monte Carlo Tree Search with Sampled Information Relaxation Dual Bounds,CSC,,,,
Fermi-edge singularity and the functional renormalization group,,PHY,,,
"Towards ""AlphaChem"": Chemical Synthesis Planning with Tree Search and Deep Neural Network Policies",CSC,PHY,,,
The quasi-Assouad dimension for stochastically self-similar sets,,,,,
Influence of Spin Orbit Coupling in the Iron-Based Superconductors,,PHY,,,
Effect of Meltdown and Spectre Patches on the Performance of HPC Applications,CSC,,,,
Gene regulatory network inference: an introductory survey,,,,QBY,
Optic Disc and Cup Segmentation Methods for Glaucoma Detection with Modification of U-Net Convolutional Neural Network,CSC,,STA,,
"Automatic Analysis, Decomposition and Parallel Optimization of Large Homogeneous Networks",CSC,,,,
Robust Contextual Bandit via the Capped-$\ell_{2}$ norm,CSC,,STA,,
Improper posteriors are not improper,,,STA,,
Fault Tolerant Consensus Agreement Algorithm,CSC,,,,
Congestion Barcodes: Exploring the Topology of Urban Congestion Using Persistent Homology,CSC,,,,
Once in a blue moon: detection of 'bluing' during debris transits in the white dwarf WD1145+017,,PHY,,,
"Viscous dynamics of drops and bubbles in Hele-Shaw cells: drainage, drag friction, coalescence, and bursting",,PHY,,,
Stacking-based Deep Neural Network: Deep Analytic Network on Convolutional Spectral Histogram Features,CSC,,,,
Superconductivity and Frozen Electronic States at the (111) LaAlO$_3$/SrTiO$_3$ Interface,,PHY,,,
Emittance preservation of an electron beam in a loaded quasi-linear plasma wakefield,,PHY,,,
Detection of Nonlinearly Distorted OFDM Signals via Generalized Approximate Message Passing,CSC,,,,
Nonlinear fractal meaning of the Hubble constant,,PHY,,,
SEA: String Executability Analysis by Abstract Interpretation,CSC,,,,
On the trade-off between labels and weights in quantitative bisimulation,CSC,,,,
Poynting's theorem in magnetic turbulence,,PHY,,,
Polar factorization of conformal and projective maps of the sphere in the sense of optimal mass transport,,,,,
Representing numbers as the sum of squares and powers in the ring $\mathbb{Z}_n$,,,,,
Spatial Regression and the Bayesian Filter,,,STA,,
Behaviour of electron content in the ionospheric D-region during solar X-ray flares,,PHY,,,
Fractional compound Poisson processes with multiple internal states,,,STA,,
Zero-point spin-fluctuations of single adatoms,,PHY,,,
Exploration-exploitation tradeoffs dictate the optimal distributions of phenotypes for populations subject to fitness fluctuations,,,,QBY,
Evaluating openEHR for storing computable representations of electronic health record phenotyping algorithms,CSC,,,,
Optimizing Mission Critical Data Dissemination in Massive IoT Networks,CSC,,,,
Interference of two co-directional exclusion processes in the presence of a static bottleneck: a biologically motivated model,,PHY,,,
Gaussian fluctuations of Jack-deformed random Young diagrams,,,,,
Revisiting (logarithmic) scaling relations using renormalization group,,PHY,,,
Concentration of weakly dependent Banach-valued sums and applications to statistical learning methods,,,STA,,
Evolution of the Kondo lattice electronic structure above the transport coherence temperature,,PHY,,,
On A Conjecture Regarding Permutations Which Destroy Arithmetic Progressions,,,,,
Inverse monoids and immersions of cell complexes,,,,,
Not even wrong: The spurious link between biodiversity and ecosystem functioning,,,,QBY,
Evidence of Fraud in Brazil's Electoral Campaigns Via the Benford's Law,CSC,,STA,,
A Berkeley View of Systems Challenges for AI,CSC,,,,
"Equivariant infinite loop space theory, I. The space level story",,,,,
Arithmetic purity of strong approximation for homogeneous spaces,,,,,
Flatness results for nonlocal minimal cones and subgraphs,,,,,
Effective Asymptotic Formulae for Multilinear Averages of Multiplicative Functions,,,,,
On the apparent permeability of porous media in rarefied gas flows,,PHY,,,
Small subgraphs and their extensions in a random distance graph,,,,,
Increasing the Reusability of Enforcers with Lifecycle Events,CSC,,,,
A Fast Interior Point Method for Atomic Norm Soft Thresholding,CSC,,,,
Optimal Experiment Design for Causal Discovery from Fixed Number of Experiments,CSC,,STA,,
Economically Efficient Combined Plant and Controller Design Using Batch Bayesian Optimization: Mathematical Framework and Airborne Wind Energy Case Study,CSC,,,,
The 10 phases of spin chains with two Ising symmetries,,PHY,,,
Generalized subspace subcodes with application in cryptology,CSC,,,,
Lagrangian fibers of Gelfand-Cetlin systems,,,,,
A local ensemble transform Kalman particle filter for convective scale data assimilation,,PHY,STA,,
Tensor Robust Principal Component Analysis with A New Tensor Nuclear Norm,,,STA,,
Resolving the age bimodality of galaxy stellar populations on kpc scales,,PHY,,,
Hidden long evolutionary memory in a model biochemical network,,PHY,,,
On Study of the Reliable Fully Convolutional Networks with Tree Arranged Outputs (TAO-FCN) for Handwritten String Recognition,CSC,,,,
Marcel Riesz on Nörlund Means,,,,,
Mathematics of Isogeny Based Cryptography,CSC,,,,
Modeling of drug diffusion in a solid tumor leading to tumor cell death,,,,QBY,
Sensitivity analysis for inverse probability weighting estimators via the percentile bootstrap,,,STA,,
From 4G to 5G: Self-organized Network Management meets Machine Learning,CSC,,,,
Cyber Risk Analysis of Combined Data Attacks Against Power System State Estimation,CSC,,,,
A New Family of Near-metrics for Universal Similarity,CSC,,STA,,
Poisoning Attacks to Graph-Based Recommender Systems,,,STA,,
SU-RUG at the CoNLL-SIGMORPHON 2017 shared task: Morphological Inflection with Attentional Sequence-to-Sequence Models,CSC,,,,
"Neural system identification for large populations separating ""what"" and ""where""",CSC,,STA,,
On the Deployment of Distributed Antennas for Wireless Power Transfer with Safety Electromagnetic Radiation Level Requirement,CSC,,,,
A simulation technique for slurries interacting with moving parts and deformable solids with applications,CSC,,,,
Dissipative hydrodynamics in superspace,,PHY,,,
The Two-fold Role of Observables in Classical and Quantum Kinematics,,PHY,,,
On the isoperimetric quotient over scalar-flat conformal classes,,,,,
On the Spectrum of Random Features Maps of High Dimensional Data,,,STA,,
Minimum energy path calculations with Gaussian process regression,,PHY,STA,,
Evaluating Roles of Central Users in Online Communication Networks: A Case Study of #PanamaLeaks,CSC,PHY,STA,,
Best polynomial approximation on the triangle,,,,,
SecureTime: Secure Multicast Time Synchronization,CSC,,,,
Solving the multi-site and multi-orbital Dynamical Mean Field Theory using Density Matrix Renormalization,,PHY,,,
Topologically Invariant Double Dirac States in Bismuth based Perovskites: Consequence of Ambivalent Charge States and Covalent Bonding,,PHY,,,
Identitas: A Better Way To Be Meaningless,CSC,,,,
Learning from Between-class Examples for Deep Sound Recognition,CSC,,STA,,
DAGGER: A sequential algorithm for FDR control on DAGs,,,STA,,
On nonlinear profile decompositions and scattering for a NLS-ODE model,,,,,
Blockchain and human episodic memory,,,,QBY,
Epidemic Spreading and Aging in Temporal Networks with Memory,CSC,,,QBY,
"The Shattered Gradients Problem: If resnets are the answer, then what is the question?",CSC,,STA,,
Pr$_2$Ir$_2$O$_7$: when Luttinger semimetal meets Melko-Hertog-Gingras spin ice state,,PHY,,,
A 2-edge partial inverse problem for the Sturm-Liouville operators with singular potentials on a star-shaped graph,,,,,
Jastrow form of the Ground State Wave Functions for Fractional Quantum Hall States,,PHY,,,
On a common refinement of Stark units and Gross-Stark units,,,,,
An Integrated Decision and Control Theoretic Solution to Multi-Agent Co-Operative Search Problems,CSC,,,,
Chain effects of clean water: The Mills-Reincke phenomenon in early twentieth-century Japan,,,STA,QBY,
Learning Transferable Architectures for Scalable Image Recognition,CSC,,,,
Fast Multi-frame Stereo Scene Flow with Motion Segmentation,CSC,,,,
Pointed $p^2q$-dimensional Hopf algebras in positive characteristic,,,,,
Weak Form of Stokes-Dirac Structures and Geometric Discretization of Port-Hamiltonian Systems,CSC,,,,
Clamped seismic metamaterials: Ultra-low broad frequency stop-bands,,PHY,,,
Difference analogue of second main theorems for meromorphic mapping into algebraic variety,,,,,
An Effective Way to Improve YouTube-8M Classification Accuracy in Google Cloud Platform,CSC,,STA,,
Experimental Design of a Prescribed Burn Instrumentation,,,STA,,
Seifert surgery on knots via Reidemeister torsion and Casson-Walker-Lescop invariant III,,,,,
Sparse mean localization by information theory,,,STA,,
Joint Power and Admission Control based on Channel Distribution Information: A Novel Two-Timescale Approach,CSC,,,,
A Closer Look at the Alpha Persei Coronal Conundrum,,PHY,,,
The challenge of realistic music generation: modelling raw audio at scale,,,STA,,
Interpretations of family size distributions: The Datura example,,PHY,,,
"Intersections of $ω$ classes in $\overline{\mathcal{M}}_{g,n}$",,,,,
GENFIRE: A generalized Fourier iterative reconstruction algorithm for high-resolution 3D imaging,,PHY,,,
GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,CSC,,STA,,
"SPIRou Input Catalog: Activity, Rotation and Magnetic Field of Cool Dwarfs",,PHY,,,
Objective Procedure for Reconstructing Couplings in Complex Systems,,,,QBY,
Iteratively-Reweighted Least-Squares Fitting of Support Vector Machines: A Majorization--Minimization Algorithm Approach,CSC,,STA,,
Time-Series Adaptive Estimation of Vaccination Uptake Using Web Search Queries,CSC,,STA,,
Over Recurrence for Mixing Transformations,,,,,
Joint Atlas-Mapping of Multiple Histological Series combined with Multimodal MRI of Whole Marmoset Brains,,,,QBY,
A Practical Approach for Successive Omniscience,CSC,,,,
Scholars on Twitter: who and how many are they?,CSC,,,,
General notions of regression depth function,,,STA,,
Photonic topological pumping through the edges of a dynamical four-dimensional quantum Hall system,,PHY,,,
On Scalable Inference with Stochastic Gradient Descent,CSC,,STA,,
The g-Good-Neighbor Conditional Diagnosability of Locally Twisted Cubes,CSC,,,,
Coherence for lenses and open games,CSC,,,,
Streaming Algorithm for Euler Characteristic Curves of Multidimensional Images,CSC,,,,
An automata group of intermediate growth and exponential activity,,,,,
Tuning across the BCS-BEC crossover in the multiband superconductor Fe$_{1+y}$Se$_x$Te$_{1-x}$ : An angle-resolved photoemission study,,PHY,,,
GroupReduce: Block-Wise Low-Rank Approximation for Neural Language Model Shrinking,,,STA,,
Morphological characterization of Ge ion implanted SiO2 matrix using multifractal technique,,PHY,,,
Preliminary corrosion studies of IN-RAFM steel with stagnant Lead Lithium at 550 C,,PHY,,,
Magnetocapillary self-assemblies: locomotion and micromanipulation along a liquid interface,,PHY,,,
On asymptotically minimax nonparametric detection of signal in Gaussian white noise,,,STA,,
Bayesian Metabolic Flux Analysis reveals intracellular flux couplings,,,STA,,
Robust Estimation of Change-Point Location,,,STA,,
Growing length scale accompanying the vitrification: A perspective based on non-singular density fluctuations,,PHY,,,
Many-Objective Pareto Local Search,CSC,,,,
From Natural to Artificial Camouflage: Components and Systems,CSC,,,QBY,
Bayesian nonparametric inference for the M/G/1 queueing systems based on the marked departure process,,,STA,,
On some polynomials and series of Bloch-Polya Type,,,,,
"Improvement in the UAV position estimation with low-cost GPS, INS and vision-based system: Application to a quadrotor UAV",CSC,,,,
Structured low rank decomposition of multivariate Hankel matrices,,,,,
Linear time-periodic dynamical systems: An H2 analysis and a model reduction framework,CSC,,,,
Software metadata: How much is enough?,CSC,PHY,,,
A Categorical Approach for Recognizing Emotional Effects of Music,CSC,,STA,,
Utilizing artificial neural networks to predict demand for weather-sensitive products at retail stores,CSC,,STA,,
Deformable Generator Network: Unsupervised Disentanglement of Appearance and Geometry,,,STA,,
Gaussian Kernel in Quantum Paradigm,CSC,,,,
Learning to Succeed while Teaching to Fail: Privacy in Closed Machine Learning Systems,CSC,,STA,,
Performance of Energy Harvesting Receivers with Power Optimization,CSC,,,,
On Convergence Rate of a Continuous-Time Distributed Self-Appraisal Model with Time-Varying Relative Interaction Matrices,,,,,
Closing the loop on multisensory interactions: A neural architecture for multisensory causal inference and recalibration,,,,QBY,
Block CUR: Decomposing Matrices using Groups of Columns,CSC,,STA,,
Synchronous Observation on the Spontaneous Transformation of Liquid Metal under Free Falling Microgravity Situation,,PHY,,,
Continuously tempered Hamiltonian Monte Carlo,,,STA,,
Automated Synthesis of Safe Digital Controllers for Sampled-Data Stochastic Nonlinear Systems,CSC,,,,
Magnus integrators on multicore CPUs and GPUs,CSC,PHY,,,
High Dimensional Estimation and Multi-Factor Models,,,STA,,QFI
Scaling Law for Three-body Collisions in Identical Fermions with $p$-wave Interactions,,PHY,,,
An Expanded Local Variance Gamma model,,,,,QFI
An attentive neural architecture for joint segmentation and parsing and its application to real estate ads,CSC,,,,
Multilevel maximum likelihood estimation with application to covariance matrices,,,STA,,
Auto-Meta: Automated Gradient Based Meta Learner Search,,,STA,,
Convergence of the Forward-Backward Algorithm: Beyond the Worst Case with the Help of Geometry,,,STA,,
Calibration-Free Relaxation-Based Multi-Color Magnetic Particle Imaging,,PHY,,,
Neural Machine Translation,CSC,,,,
On algebraically integrable domains in Euclidean spaces,,,,,
Vocabulary-informed Extreme Value Learning,CSC,,STA,,
Cross-layer optimized routing with low duty cycle TDMA across multiple wireless body area networks,CSC,,,,
A Team-Formation Algorithm for Faultline Minimization,CSC,,,,
A Survey of Model Compression and Acceleration for Deep Neural Networks,CSC,,,,
Non-Parametric Calibration of Probabilistic Regression,,,STA,,
Cyclotron resonant scattering feature simulations. II. Description of the CRSF simulation process,,PHY,,,
New quantum mds constacylıc codes,CSC,,,,
Infinitary first-order categorical logic,,,,,
Stochastic Gradient Monomial Gamma Sampler,CSC,,STA,,
Gini estimation under infinite variance,,,STA,,
Training Neural Networks Using Features Replay,,,STA,,
The anti-spherical category,,,,,
Trajectories and orbital angular momentum of necklace beams in nonlinear colloidal suspensions,,PHY,,,
Unified Treatment of Spin Torques using a Coupled Magnetisation Dynamics and Three-Dimensional Spin Current Solver,,PHY,,,
A XGBoost risk model via feature selection and Bayesian hyper-parameter optimization,CSC,,STA,,
Rheology of High-Capillary Number Flow in Porous Media,,PHY,,,
Quantum Charge Pumps with Topological Phases in Creutz Ladder,,PHY,,,
On Deep Neural Networks for Detecting Heart Disease,CSC,,STA,,
Exponential Stability Analysis via Integral Quadratic Constraints,CSC,,,,
Fermi acceleration of electrons inside foreshock transient cores,,PHY,,,
Quantum Speed Limit is Not Quantum,,PHY,,,
Adaptive Diffusion Processes of Time-Varying Local Information on Networks,CSC,,,,
ACVAE-VC: Non-parallel many-to-many voice conversion with auxiliary classifier variational autoencoder,CSC,,STA,,
Spectral analysis of jet turbulence,,PHY,,,
A dual framework for low-rank tensor completion,CSC,,STA,,
La notion d'involution dans le Brouillon Project de Girard Desargues,,,,,
Framing U-Net via Deep Convolutional Framelets: Application to Sparse-view CT,CSC,,STA,,
Lie $\infty$-algebroids and singular foliations,,,,,
Distinct evolutions of Weyl fermion quasiparticles and Fermi arcs with bulk band topology in Weyl semimetals,,PHY,,,
Assessing inter-modal and inter-regional dependencies in prodromal Alzheimer's disease using multimodal MRI/PET and Gaussian graphical models,,,STA,QBY,
On the economics of knowledge creation and sharing,CSC,,,,
Seismic fragility curves for structures using non-parametric representations,,,STA,,
Metastable Markov chains: from the convergence of the trace to the convergence of the finite-dimensional distributions,,,,,
Construction of embedded periodic surfaces in $\mathbb{R}^n$,,,,,
A System of Three Super Earths Transiting the Late K-Dwarf GJ 9827 at Thirty Parsecs,,PHY,,,
State Sum Invariants of Three Manifolds from Spherical Multi-fusion Categories,,PHY,,,
Sparse Neural Networks Topologies,CSC,,STA,,
Human perception in computer vision,CSC,,,,
Analyses and estimation of certain design parameters of micro-grooved heat pipes,,PHY,,,
"Merge decompositions, two-sided Krohn-Rhodes, and aperiodic pointlikes",CSC,,,,
Deep Multimodal Image-Repurposing Detection,CSC,,,,
DeepFense: Online Accelerated Defense Against Adversarial Deep Learning,CSC,,STA,,
Retrospective Higher-Order Markov Processes for User Trails,CSC,,STA,,
Frank-Wolfe with Subsampling Oracle,,,STA,,
A mean value formula and a Liouville theorem for the complex Monge-Ampère equation,,,,,
Bayesian Image Quality Transfer with CNNs: Exploring Uncertainty in dMRI Super-Resolution,CSC,,,,
Yu-Shiba-Rusinov bands in superconductors in contact with a magnetic insulator,,PHY,,,
Bayesian Optimization for Probabilistic Programs,CSC,,STA,,
Long-Term Load Forecasting Considering Volatility Using Multiplicative Error Model,,,STA,,
Geometrically stopped Markovian random growth processes and Pareto tails,,,,,
Mathematics of Topological Quantum Computing,,PHY,,,
Graph Clustering using Effective Resistance,CSC,,,,
Self-supervised learning: When is fusion of the primary and secondary sensor cue useful?,CSC,,,,
Playing Atari with Six Neurons,,,STA,,
Contraction and uniform convergence of isotonic regression,,,STA,,
A Systematic Approach for Exploring Tradeoffs in Predictive HVAC Control Systems for Buildings,CSC,,,,
On types of degenerate critical points of real polynomial functions,,,,,
Contribution of Data Categories to Readmission Prediction Accuracy,,,,QBY,
Tropical recurrent sequences,CSC,,,,
Invariance of Weight Distributions in Rectified MLPs,CSC,,STA,,
Learning to Adapt by Minimizing Discrepancy,CSC,,STA,,
Incarnation of Majorana Fermions in Kitaev Quantum Spin Lattice,,PHY,,,
Haro 11: Where is the Lyman continuum source?,,PHY,,,
Typed Closure Conversion for the Calculus of Constructions,CSC,,,,
Untangling Planar Curves,CSC,,,,
Greedy-Merge Degrading has Optimal Power-Law,CSC,,,,
Radially distributed values and normal families,,,,,
Characterizing Exoplanet Habitability,,PHY,,,
Deep Learning for Classification Tasks on Geospatial Vector Polygons,,,STA,,
The Distance Standard Deviation,,,STA,,
Combining learned and analytical models for predicting action effects,CSC,,,,
Leavitt path algebras: Graded direct-finiteness and graded $Σ$-injective simple modules,,,,,
Ensemble Estimation of Mutual Information,CSC,,STA,,
Social media mining for identification and exploration of health-related information from pregnant women,CSC,,,,
The vortex method for 2D ideal flows in the exterior of a disk,,,,,
Neeman's characterization of K(R-Proj) via Bousfield localization,,,,,
Qualification Conditions in Semi-algebraic Programming,,,,,
Curvature in Hamiltonian Mechanics And The Einstein-Maxwell-Dilaton Action,,,,,
End-to-End Navigation in Unknown Environments using Neural Networks,CSC,,,,
A Combinatorial Approach to the Opposite Bi-Free Partial $S$-Transform,,,,,
Roche-lobe overflow in eccentric planet-star systems,,PHY,,,
A short-orbit spectrometer for low-energy pion detection in electroproduction experiments at MAMI,,PHY,,,
A one-dimensional model for water desalination by flow-through electrode capacitive deionization,CSC,PHY,,,
Deep Learning Scooping Motion using Bilateral Teleoperations,CSC,,,,
XFlow: 1D-2D Cross-modal Deep Neural Networks for Audiovisual Classification,CSC,,STA,,
Making Sense of Physics through Stories: High School Students Narratives about Electric Charges and Interactions,,PHY,,,
Preventing Hospital Acquired Infections Through a Workflow-Based Cyber-Physical System,CSC,,,,
OpenML Benchmarking Suites and the OpenML100,CSC,,STA,,
On orbifold constructions associated with the Leech lattice vertex operator algebra,,,,,
From mindless mathematics to thinking meat?,,PHY,,,
Phase correction for ALMA - Investigating water vapour radiometer scaling:The long-baseline science verification data case study,,PHY,,,
On the $μ$-ordinary locus of a Shimura variety,,,,,
Scatteract: Automated extraction of data from scatter plots,CSC,,STA,,
When the Universe Expands Too Fast: Relentless Dark Matter,,PHY,,,
Polygons with prescribed edge slopes: configuration space and extremal points of perimeter,,,,,
An Asymptotically Efficient Metropolis-Hastings Sampler for Bayesian Inference in Large-Scale Educational Measuremen,,,STA,,
When Streams of Optofluidics Meet the Sea of Life,,,,QBY,
"L lines, C points and Chern numbers: understanding band structure topology using polarization fields",,PHY,,,
Willis Theory via Graphs,,,,,
The Effect of Site-Specific Spectral Densities on the High-Dimensional Exciton-Vibrational Dynamics in the FMO Complex,,PHY,,,
Space dependent adhesion forces mediated by transient elastic linkages : new convergence and global existence results,,,,,
On the nonparametric maximum likelihood estimator for Gaussian location mixture densities with application to Gaussian denoising,,,STA,,
Gravitational wave production from preheating: parameter dependence,,PHY,,,
IP determination and 1+1 REMPI spectrum of SiO at 210-220 nm with implications for SiO$^{+}$ ion trap loading,,PHY,,,
Adaptive Model Predictive Control for High-Accuracy Trajectory Tracking in Changing Conditions,CSC,,,,
